Datetime,average
3/1/1958,315.7
4/1/1958,317.45
5/1/1958,317.51
6/1/1958,317.24
7/1/1958,315.86
8/1/1958,314.93
9/1/1958,313.2
10/1/1958,312.43
11/1/1958,313.33
12/1/1958,314.67
1/1/1959,315.58
2/1/1959,316.48
3/1/1959,316.65
4/1/1959,317.72
5/1/1959,318.29
6/1/1959,318.15
7/1/1959,316.54
8/1/1959,314.8
9/1/1959,313.84
10/1/1959,313.33
11/1/1959,314.81
12/1/1959,315.58
1/1/1960,316.43
2/1/1960,316.98
3/1/1960,317.58
4/1/1960,319.03
5/1/1960,320.04
6/1/1960,319.59
7/1/1960,318.18
8/1/1960,315.9
9/1/1960,314.17
10/1/1960,313.83
11/1/1960,315.0
12/1/1960,316.19
1/1/1961,316.89
2/1/1961,317.7
3/1/1961,318.54
4/1/1961,319.48
5/1/1961,320.58
6/1/1961,319.77
7/1/1961,318.57
8/1/1961,316.79
9/1/1961,314.99
10/1/1961,315.31
11/1/1961,316.1
12/1/1961,317.01
1/1/1962,317.94
2/1/1962,318.55
3/1/1962,319.68
4/1/1962,320.57
5/1/1962,321.02
6/1/1962,320.62
7/1/1962,319.61
8/1/1962,317.4
9/1/1962,316.25
10/1/1962,315.42
11/1/1962,316.69
12/1/1962,317.7
1/1/1963,318.74
2/1/1963,319.07
3/1/1963,319.86
4/1/1963,321.38
5/1/1963,322.25
6/1/1963,321.48
7/1/1963,319.74
8/1/1963,317.77
9/1/1963,316.21
10/1/1963,315.99
11/1/1963,317.07
12/1/1963,318.35
1/1/1964,319.57
2/1/1964,320.01
3/1/1964,320.74
4/1/1964,321.84
5/1/1964,322.26
6/1/1964,321.89
7/1/1964,320.44
8/1/1964,318.69
9/1/1964,316.7
10/1/1964,316.87
11/1/1964,317.68
12/1/1964,318.71
1/1/1965,319.44
2/1/1965,320.44
3/1/1965,320.89
4/1/1965,322.14
5/1/1965,322.17
6/1/1965,321.87
7/1/1965,321.21
8/1/1965,318.87
9/1/1965,317.81
10/1/1965,317.3
11/1/1965,318.87
12/1/1965,319.42
1/1/1966,320.62
2/1/1966,321.6
3/1/1966,322.39
4/1/1966,323.7
5/1/1966,324.08
6/1/1966,323.75
7/1/1966,322.38
8/1/1966,320.36
9/1/1966,318.64
10/1/1966,318.1
11/1/1966,319.78
12/1/1966,321.03
1/1/1967,322.33
2/1/1967,322.5
3/1/1967,323.04
4/1/1967,324.42
5/1/1967,325.0
6/1/1967,324.09
7/1/1967,322.54
8/1/1967,320.92
9/1/1967,319.25
10/1/1967,319.39
11/1/1967,320.73
12/1/1967,321.96
1/1/1968,322.57
2/1/1968,323.15
3/1/1968,323.89
4/1/1968,325.02
5/1/1968,325.57
6/1/1968,325.36
7/1/1968,324.14
8/1/1968,322.11
9/1/1968,320.33
10/1/1968,320.25
11/1/1968,321.32
12/1/1968,322.89
1/1/1969,324.0
2/1/1969,324.42
3/1/1969,325.63
4/1/1969,326.66
5/1/1969,327.38
6/1/1969,326.71
7/1/1969,325.88
8/1/1969,323.66
9/1/1969,322.38
10/1/1969,321.78
11/1/1969,322.86
12/1/1969,324.12
1/1/1970,325.06
2/1/1970,325.98
3/1/1970,326.93
4/1/1970,328.13
5/1/1970,328.08
6/1/1970,327.67
7/1/1970,326.34
8/1/1970,324.69
9/1/1970,323.1
10/1/1970,323.06
11/1/1970,324.01
12/1/1970,325.13
1/1/1971,326.17
2/1/1971,326.68
3/1/1971,327.17
4/1/1971,327.79
5/1/1971,328.93
6/1/1971,328.57
7/1/1971,327.36
8/1/1971,325.43
9/1/1971,323.36
10/1/1971,323.56
11/1/1971,324.8
12/1/1971,326.01
1/1/1972,326.77
2/1/1972,327.63
3/1/1972,327.75
4/1/1972,329.72
5/1/1972,330.07
6/1/1972,329.09
7/1/1972,328.04
8/1/1972,326.32
9/1/1972,324.84
10/1/1972,325.2
11/1/1972,326.5
12/1/1972,327.55
1/1/1973,328.55
2/1/1973,329.56
3/1/1973,330.3
4/1/1973,331.5
5/1/1973,332.48
6/1/1973,332.07
7/1/1973,330.87
8/1/1973,329.31
9/1/1973,327.51
10/1/1973,327.18
11/1/1973,328.16
12/1/1973,328.64
1/1/1974,329.35
2/1/1974,330.71
3/1/1974,331.48
4/1/1974,332.65
5/1/1974,333.19
6/1/1974,332.2
7/1/1974,331.07
8/1/1974,329.15
9/1/1974,327.33
10/1/1974,327.28
11/1/1974,328.31
12/1/1974,329.58
1/1/1975,330.73
2/1/1975,331.46
3/1/1975,331.94
4/1/1975,333.11
5/1/1975,333.95
6/1/1975,333.42
7/1/1975,331.97
8/1/1975,329.95
9/1/1975,328.5
10/1/1975,328.36
11/1/1975,329.38
12/1/1975,330.62
1/1/1976,331.56
2/1/1976,332.74
